Filename = 26.out.txt, no_of_character_errs = 14, ground_truth_length = 39, output_length = 41, Percentage Character Errors = 35.8974358974%
Filename = 260.out.txt, no_of_character_errs = 17, ground_truth_length = 39, output_length = 36, Percentage Character Errors = 43.5897435897%
Filename = 261.out.txt, no_of_character_errs = 27, ground_truth_length = 65, output_length = 51, Percentage Character Errors = 41.5384615385%
Filename = 262.out.txt, no_of_character_errs = 7, ground_truth_length = 18, output_length = 18, Percentage Character Errors = 38.8888888889%
Filename = 263.out.txt, no_of_character_errs = 11, ground_truth_length = 34, output_length = 32, Percentage Character Errors = 32.3529411765%
Filename = 264.out.txt, no_of_character_errs = 16, ground_truth_length = 39, output_length = 38, Percentage Character Errors = 41.0256410256%
Filename = 265.out.txt, no_of_character_errs = 16, ground_truth_length = 31, output_length = 27, Percentage Character Errors = 51.6129032258%
Filename = 266.out.txt, no_of_character_errs = 4, ground_truth_length = 54, output_length = 56, Percentage Character Errors = 7.40740740741%
Filename = 267.out.txt, no_of_character_errs = 6, ground_truth_length = 44, output_length = 46, Percentage Character Errors = 13.6363636364%
Filename = 268.out.txt, no_of_character_errs = 7, ground_truth_length = 39, output_length = 40, Percentage Character Errors = 17.9487179487%
Filename = 269.out.txt, no_of_character_errs = 13, ground_truth_length = 42, output_length = 39, Percentage Character Errors = 30.9523809524%
Filename = 27.out.txt, no_of_character_errs = 24, ground_truth_length = 54, output_length = 43, Percentage Character Errors = 44.4444444444%
Filename = 270.out.txt, no_of_character_errs = 6, ground_truth_length = 17, output_length = 14, Percentage Character Errors = 35.2941176471%
Filename = 271.out.txt, no_of_character_errs = 21, ground_truth_length = 38, output_length = 38, Percentage Character Errors = 55.2631578947%
Filename = 272.out.txt, no_of_character_errs = 6, ground_truth_length = 13, output_length = 13, Percentage Character Errors = 46.1538461538%
Filename = 273.out.txt, no_of_character_errs = 7, ground_truth_length = 36, output_length = 33, Percentage Character Errors = 19.4444444444%
Filename = 274.out.txt, no_of_character_errs = 44, ground_truth_length = 44, output_length = 33, Percentage Character Errors = 100.0%
Filename = 275.out.txt, no_of_character_errs = 5, ground_truth_length = 39, output_length = 38, Percentage Character Errors = 12.8205128205%
Filename = 276.out.txt, no_of_character_errs = 15, ground_truth_length = 36, output_length = 32, Percentage Character Errors = 41.6666666667%
Filename = 277.out.txt, no_of_character_errs = 7, ground_truth_length = 36, output_length = 39, Percentage Character Errors = 19.4444444444%
Filename = 278.out.txt, no_of_character_errs = 5, ground_truth_length = 35, output_length = 37, Percentage Character Errors = 14.2857142857%
Filename = 279.out.txt, no_of_character_errs = 5, ground_truth_length = 28, output_length = 27, Percentage Character Errors = 17.8571428571%
Filename = 28.out.txt, no_of_character_errs = 6, ground_truth_length = 6, output_length = 6, Percentage Character Errors = 100.0%
